# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Sun, 21 Feb 2021 23:00:04 +0100
#
# IP	number of (black)lists
#
51.77.135.89	11
171.25.193.20	11
62.210.105.116	10
171.25.193.78	10
192.42.116.16	9
185.220.101.194	9
62.102.148.68	9
185.247.224.66	9
171.25.193.77	9
185.165.168.229	9
185.220.103.7	9
185.220.102.253	9
23.129.64.204	9
185.220.101.207	9
185.220.102.244	8
185.220.102.242	8
185.220.102.243	8
185.220.102.248	8
185.220.102.249	8
162.247.74.74	8
217.182.192.217	8
206.189.111.9	8
178.20.55.18	8
162.247.72.199	8
185.220.100.252	8
192.42.116.13	8
192.42.116.19	8
185.220.101.216	8
185.220.101.212	8
144.168.164.26	8
141.98.80.69	8
178.165.72.177	8
45.148.10.54	8
80.67.172.162	8
104.244.72.168	8
206.189.2.121	8
185.56.80.65	8
78.36.197.146	8
185.220.101.16	8
192.42.116.24	8
68.183.4.205	8
195.206.105.217	8
176.31.46.240	8
162.247.74.200	8
91.192.103.10	8
91.192.103.15	8
91.192.103.16	8
209.97.132.66	8
185.220.101.8	8
185.220.102.4	8
185.220.102.6	8
185.220.102.8	8
193.218.118.235	8
77.247.181.165	8
185.213.155.169	8
171.25.193.25	8
185.220.102.251	8
45.129.56.200	8
95.128.43.164	8
51.75.52.118	8
51.79.69.241	8
185.220.101.146	8
185.220.102.250	8
209.141.43.49	8
185.220.101.204	8
185.220.100.255	7
106.12.102.210	7
185.220.102.7	7
68.183.10.186	7
198.98.49.134	7
185.220.102.245	7
185.220.102.247	7
185.220.102.240	7
185.220.102.241	7
51.91.123.119	7
142.44.246.156	7
91.192.103.35	7
54.39.16.73	7
185.38.175.71	7
45.154.255.147	7
94.230.208.147	7
23.129.64.208	7
178.20.55.16	7
192.42.116.14	7
46.59.65.88	7
192.42.116.17	7
192.42.116.15	7
192.42.116.18	7
195.254.135.76	7
193.218.118.135	7
46.101.143.148	7
185.220.101.218	7
185.220.101.215	7
185.220.101.213	7
144.217.60.239	7
206.189.106.193	7
162.247.74.27	7
174.138.64.163	7
162.247.74.216	7
162.247.74.217	7
207.244.70.35	7
46.148.20.25	7
209.141.41.45	7
104.244.77.101	7
162.247.74.7	7
104.244.73.205	7
91.218.127.142	7
121.4.79.142	7
177.85.121.36	7
101.32.181.140	7
51.75.144.43	7
104.244.76.13	7
202.153.37.194	7
62.102.148.69	7
183.234.11.43	7
185.220.103.8	7
185.220.101.15	7
185.220.101.13	7
81.161.63.103	7
192.42.116.23	7
192.42.116.20	7
192.42.116.27	7
192.42.116.26	7
192.42.116.25	7
217.170.206.146	7
185.220.101.14	7
185.34.33.2	7
51.158.111.157	7
195.54.160.250	7
162.247.74.201	7
162.247.74.206	7
5.196.29.8	7
124.172.244.163	7
185.220.102.246	7
89.234.157.254	7
158.69.126.135	7
104.244.74.211	7
91.250.242.12	7
49.234.114.62	7
185.191.124.151	7
91.192.103.11	7
185.174.43.8	7
185.174.43.6	7
185.174.43.2	7
185.220.101.9	7
185.220.101.7	7
185.220.101.4	7
185.220.101.1	7
23.129.64.213	7
80.82.77.139	7
111.230.56.118	7
62.210.37.82	7
209.141.43.226	7
194.105.205.42	7
209.198.180.142	7
23.129.64.253	7
81.161.63.253	7
198.96.155.3	7
185.170.114.25	7
185.220.101.21	7
77.247.181.163	7
104.244.74.28	7
185.220.101.201	7
185.220.103.5	7
185.220.103.6	7
185.247.224.14	7
217.170.206.138	7
45.93.201.193	7
185.220.102.252	7
64.113.32.29	7
23.129.64.202	7
23.129.64.200	7
23.129.64.207	7
91.192.103.25	7
91.192.103.26	7
185.220.101.198	7
185.220.101.197	7
124.239.216.233	7
185.32.222.171	7
149.202.238.204	7
104.244.72.36	7
162.247.73.192	7
185.220.102.254	7
165.84.180.12	7
209.127.17.242	7
185.220.103.10	7
81.70.205.137	7
123.207.74.24	7
185.220.101.208	7
185.220.101.205	7
185.220.101.203	7
185.220.101.200	7
185.100.87.207	7
112.220.238.3	6
107.189.10.27	6
23.129.64.223	6
23.129.64.224	6
23.129.64.225	6
112.196.76.140	6
80.82.77.33	6
1.180.211.139	6
1.180.211.138	6
107.189.11.153	6
106.51.76.223	6
213.39.55.13	6
107.189.10.237	6
146.185.253.101	6
51.81.43.48	6
119.28.4.87	6
122.55.190.12	6
178.128.116.50	6
165.227.85.21	6
120.48.20.241	6
188.214.104.146	6
182.61.40.161	6
27.128.244.13	6
51.195.136.190	6
188.131.133.196	6
161.35.148.75	6
159.89.102.248	6
138.68.226.175	6
94.23.179.199	6
40.71.207.77	6
91.126.205.61	6
175.125.14.1	6
51.210.44.198	6
200.60.132.181	6
46.101.224.184	6
185.107.70.202	6
207.154.228.201	6
164.52.24.164	6
54.39.50.28	6
121.5.74.179	6
23.129.64.232	6
61.48.169.6	6
58.240.78.202	6
222.186.150.39	6
206.189.37.114	6
91.192.103.34	6
128.199.64.71	6
82.196.5.221	6
185.107.47.171	6
185.38.175.72	6
203.177.71.254	6
58.210.241.5	6
222.187.239.31	6
159.75.17.64	6
45.154.35.236	6
95.211.230.211	6
142.44.139.12	6
23.129.64.203	6
14.98.82.230	6
138.68.148.177	6
107.189.10.93	6
217.170.205.14	6
159.75.2.130	6
51.79.51.246	6
111.93.214.67	6
221.181.185.143	6
138.197.69.184	6
167.71.227.169	6
49.51.186.183	6
192.160.102.170	6
185.220.100.253	6
183.136.221.45	6
167.71.224.234	6
221.131.165.124	6
104.244.77.95	6
94.230.208.148	6
142.44.241.142	6
196.189.91.166	6
42.193.106.209	6
121.201.121.195	6
91.217.83.61	6
128.199.102.242	6
40.72.97.26	6
104.244.73.13	6
185.130.44.108	6
209.141.55.46	6
83.12.171.68	6
183.109.79.253	6
69.179.4.41	6
104.131.103.225	6
124.156.133.54	6
185.220.101.211	6
111.67.205.93	6
188.166.58.179	6
209.141.45.189	6
211.173.58.253	6
106.12.209.134	6
185.220.101.193	6
178.174.148.58	6
209.141.34.95	6
185.220.101.139	6
106.75.246.203	6
150.158.153.78	6
150.138.178.18	6
107.189.30.100	6
124.160.96.249	6
37.152.183.210	6
178.73.215.171	6
104.153.102.152	6
81.69.58.73	6
152.32.226.205	6
223.71.150.229	6
152.136.226.15	6
81.70.168.239	6
104.248.122.79	6
161.35.40.167	6
121.46.26.126	6
104.236.0.114	6
183.83.217.190	6
157.230.38.102	6
81.69.160.203	6
27.128.173.81	6
23.129.64.227	6
23.129.64.228	6
51.210.109.128	6
182.156.209.222	6
81.71.120.65	6
198.98.51.151	6
46.101.103.148	6
185.32.222.173	6
59.126.108.47	6
54.37.11.58	6
106.12.119.242	6
144.168.60.97	6
195.70.60.100	6
176.31.255.223	6
221.213.129.46	6
64.227.77.253	6
150.136.174.64	6
112.196.74.82	6
195.154.179.3	6
59.125.31.24	6
104.131.74.150	6
46.101.228.29	6
120.29.125.240	6
206.189.134.204	6
128.199.17.207	6
199.195.254.81	6
51.75.133.162	6
185.220.100.247	6
185.220.100.240	6
185.220.101.17	6
185.220.101.12	6
185.220.101.11	6
185.220.101.18	6
82.221.131.71	6
68.183.144.104	6
81.161.63.100	6
129.213.94.19	6
183.194.212.16	6
51.210.5.171	6
185.220.101.195	6
192.42.116.22	6
192.42.116.28	6
23.129.64.226	6
104.244.79.196	6
115.159.76.52	6
185.191.124.153	6
107.189.10.251	6
156.236.74.201	6
187.191.96.60	6
106.55.31.210	6
220.180.192.152	6
43.230.7.65	6
160.16.73.121	6
121.5.62.146	6
188.92.243.82	6
185.217.1.246	6
104.244.77.122	6
167.71.96.148	6
159.203.88.30	6
45.134.225.179	6
162.247.74.202	6
162.247.74.204	6
124.156.134.69	6
79.104.0.82	6
116.110.108.227	6
45.157.120.150	6
191.98.177.177	6
81.161.63.101	6
103.205.68.2	6
122.51.32.91	6
84.53.192.243	6
176.31.252.148	6
103.41.106.27	6
213.178.252.30	6
212.126.127.50	6
82.221.131.5	6
185.220.101.134	6
154.92.15.93	6
37.139.1.197	6
181.28.101.14	6
123.206.219.211	6
188.187.108.131	6
94.102.49.193	6
176.31.162.82	6
185.191.124.152	6
185.191.124.150	6
23.129.64.235	6
91.192.103.17	6
189.254.242.60	6
167.88.7.134	6
162.243.15.192	6
159.65.194.150	6
141.98.80.89	6
182.254.140.176	6
185.174.43.9	6
185.174.43.5	6
185.174.43.4	6
185.174.43.7	6
185.174.43.3	6
185.220.101.3	6
49.233.84.191	6
188.166.106.32	6
115.159.99.113	6
23.129.64.210	6
18.27.197.252	6
200.71.154.142	6
220.180.192.77	6
91.192.103.33	6
81.71.128.135	6
111.229.181.175	6
189.162.187.155	6
49.232.157.216	6
104.131.1.89	6
114.7.162.98	6
128.199.119.170	6
162.247.74.213	6
68.183.191.42	6
81.161.63.251	6
222.112.186.86	6
182.71.46.37	6
122.51.168.254	6
198.251.89.80	6
107.189.10.246	6
185.130.44.124	6
185.220.101.24	6
185.220.101.22	6
87.241.1.186	6
209.141.41.103	6
68.183.122.247	6
167.99.167.135	6
139.59.18.215	6
206.189.147.45	6
149.202.56.228	6
5.8.10.202	6
117.50.97.244	6
220.210.140.71	6
133.130.121.37	6
221.181.185.29	6
83.221.210.233	6
134.122.1.37	6
190.64.213.156	6
162.243.166.183	6
198.144.121.93	6
134.209.107.228	6
185.239.242.158	6
213.87.101.176	6
133.130.118.86	6
51.210.183.86	6
51.91.39.84	6
37.152.180.201	6
176.10.104.240	6
157.245.130.255	6
118.24.79.178	6
93.174.95.106	6
129.226.161.32	6
199.19.226.139	6
185.220.103.9	6
66.230.230.230	6
193.112.172.57	6
176.10.99.200	6
207.118.180.58	6
159.75.18.68	6
160.16.84.152	6
42.192.152.72	6
185.191.124.143	6
104.244.74.121	6
143.110.184.88	6
154.8.161.99	6
49.232.129.139	6
209.141.56.205	6
185.100.86.182	6
150.158.169.168	6
123.207.218.163	6
23.129.64.209	6
23.129.64.206	6
23.129.64.205	6
149.56.99.85	6
81.70.178.224	6
91.192.103.24	6
91.192.103.27	6
31.184.198.75	6
185.220.101.199	6
107.189.10.119	6
193.239.178.44	6
185.32.222.172	6
134.122.69.50	6
222.187.238.87	6
223.220.251.232	6
158.69.63.54	6
111.92.61.220	6
61.76.169.138	6
104.129.12.24	6
167.99.42.83	6
185.100.87.41	6
67.205.172.105	6
106.13.130.17	6
81.70.193.181	6
190.85.108.186	6
202.69.36.45	6
141.98.252.163	6
134.175.120.106	6
121.94.25.152	6
175.24.191.251	6
49.234.46.181	6
94.55.126.2	6
185.142.236.35	6
115.159.161.81	6
104.248.79.138	6
178.128.102.146	6
206.189.101.245	6
91.149.225.120	6
198.23.212.27	6
222.127.97.91	6
188.254.0.172	6
185.220.101.148	6
205.185.126.143	6
45.10.55.243	6
106.51.72.221	6
185.220.101.202	6
209.141.51.170	6
51.68.44.154	6
185.100.87.206	6
116.68.157.112	5
104.248.147.105	5
109.232.109.58	5
115.236.67.42	5
104.131.63.47	5
128.31.0.13	5
115.68.177.78	5
197.5.145.102	5
1.179.186.174	5
103.146.221.125	5
165.227.84.172	5
118.24.149.248	5
141.98.80.71	5
122.51.41.36	5
65.49.201.168	5
159.89.152.129	5
121.5.68.249	5
81.69.248.82	5
123.59.62.57	5
73.13.104.201	5
154.221.28.73	5
122.114.70.12	5
146.185.147.132	5
58.87.78.176	5
113.113.81.174	5
104.236.72.182	5
165.22.1.151	5
51.15.86.197	5
5.160.243.153	5
165.84.180.47	5
187.189.51.115	5
121.4.61.64	5
31.220.1.233	5
109.86.187.241	5
164.90.139.41	5
171.239.254.84	5
149.56.44.47	5
175.118.152.100	5
71.1.114.191	5
185.245.96.21	5
92.222.93.227	5
119.45.57.14	5
110.11.234.191	5
104.131.174.220	5
51.254.121.200	5
106.3.38.73	5
119.29.121.229	5
206.189.214.165	5
139.199.45.83	5
27.254.206.238	5
159.65.234.92	5
92.190.177.39	5
188.166.63.47	5
45.133.9.156	5
164.90.135.183	5
159.65.147.235	5
91.132.147.168	5
154.221.19.204	5
104.244.78.231	5
81.70.198.8	5
121.4.125.228	5
49.232.43.126	5
178.128.208.128	5
149.129.233.28	5
119.45.195.117	5
71.219.38.83	5
139.162.247.102	5
205.185.125.54	5
139.59.112.44	5
206.189.111.208	5
61.177.172.104	5
45.88.13.92	5
200.106.236.140	5
68.183.221.115	5
81.68.169.2	5
181.124.153.25	5
23.129.64.236	5
205.185.122.89	5
218.153.89.102	5
36.92.109.147	5
138.68.64.178	5
139.99.89.202	5
177.200.82.126	5
14.63.168.68	5
183.232.48.168	5
49.234.47.124	5
191.232.241.128	5
132.232.47.59	5
167.99.234.37	5
81.68.228.53	5
152.179.67.70	5
89.31.57.5	5
185.235.165.134	5
198.211.121.90	5
222.64.159.53	5
206.189.127.6	5
42.193.103.166	5
209.97.169.65	5
148.70.76.237	5
23.97.155.197	5
